Log_ID,Equipment_ID,Base_ID,Service_Date,Service_Type,Technician_Rank,Labor_Hours,Parts_Replaced,Cost_INR,Downtime_Days
ML-5456,EQ-1148,B02,2026-06-10,Routine Preventive,Havildar Tech,4,"Tire Assembly, Hub Bearing",10973,1
ML-5457,EQ-1148,B02,2026-04-13,Corrective Repair,Sergeant,12,"Sensors, Wiring Harness",10994,7
ML-5458,EQ-1148,B02,2026-02-04,Pre-Mission Inspection,Subedar Tech,24,"Tire Assembly, Hub Bearing",16373,1
ML-5459,EQ-1148,B02,2025-12-17,Emergency Repair,Sergeant,6,"Brake Pads, Hydraulic Line",12909,2
ML-5460,EQ-1149,B01,2026-06-22,Emergency Repair,Naik Mech,8,"Tire Assembly, Hub Bearing",94471,3
ML-5461,EQ-1149,B01,2026-04-14,Emergency Repair,Havildar Tech,6,"Brake Pads, Hydraulic Line",100507,3
ML-5462,EQ-1150,B04,2026-06-22,Routine Preventive,Sergeant,24,"Tire Assembly, Hub Bearing",15708,1
ML-5463,EQ-1150,B04,2026-04-06,Emergency Repair,Naik Mech,16,"Brake Pads, Hydraulic Line",13807,3
ML-5464,EQ-1150,B04,2026-02-12,Oil & Filter Overhaul,Warrant Officer,4,"Sensors, Wiring Harness",11103,1
ML-5465,EQ-1150,B04,2025-12-06,Corrective Repair,Sergeant,4,"Starter Motor, Battery",15163,1
ML-5466,EQ-1151,B05,2026-06-27,Routine Preventive,Subedar Tech,48,"Alternator, Belt Drive",31588,1
ML-5467,EQ-1151,B05,2026-05-08,Routine Preventive,Subedar Tech,4,"Radiator Core, Coolant",33176,1
ML-5468,EQ-1151,B05,2026-04-10,Oil & Filter Overhaul,Warrant Officer,24,"Sensors, Wiring Harness",23505,1
ML-5469,EQ-1151,B05,2026-02-12,Corrective Repair,Warrant Officer,16,"Starter Motor, Battery",25436,2
ML-5470,EQ-1152,B02,2026-05-06,Pre-Mission Inspection,Warrant Officer,16,"Sensors, Wiring Harness",45546,1
ML-5471,EQ-1152,B02,2026-02-12,Pre-Mission Inspection,Havildar Tech,6,"Sensors, Wiring Harness",50180,1
ML-5472,EQ-1152,B02,2025-11-08,Pre-Mission Inspection,Subedar Tech,24,"Starter Motor, Battery",53951,1
ML-5473,EQ-1153,B03,2026-06-24,Pre-Mission Inspection,Sergeant,24,"Brake Pads, Hydraulic Line",28724,1
ML-5474,EQ-1153,B03,2026-05-16,Emergency Repair,Warrant Officer,8,"Oil Filter, Gaskets",28492,7
ML-5475,EQ-1154,B07,2026-06-20,Corrective Repair,Sergeant,12,"Brake Pads, Hydraulic Line",20760,1
ML-5476,EQ-1154,B07,2026-05-17,Oil & Filter Overhaul,Subedar Tech,16,"Alternator, Belt Drive",23727,1
ML-5477,EQ-1154,B07,2026-04-10,Pre-Mission Inspection,Naik Mech,16,"Injector Nozzle, Fuel Filter",30186,1
ML-5478,EQ-1154,B07,2026-02-10,Corrective Repair,Warrant Officer,6,"Alternator, Belt Drive",25280,2
ML-5479,EQ-1155,B06,2026-06-19,Emergency Repair,Sergeant,12,"Alternator, Belt Drive",93942,2
ML-5480,EQ-1155,B06,2026-04-13,Oil & Filter Overhaul,Naik Mech,12,"Tire Assembly, Hub Bearing",104204,1
ML-5481,EQ-1156,B04,2026-05-07,Pre-Mission Inspection,Naik Mech,48,"Starter Motor, Battery",51126,1
ML-5482,EQ-1156,B04,2026-02-08,Oil & Filter Overhaul,Sergeant,24,"Injector Nozzle, Fuel Filter",49707,1
ML-5483,EQ-1156,B04,2025-11-26,Routine Preventive,Warrant Officer,48,"Brake Pads, Hydraulic Line",58561,1
ML-5484,EQ-1156,B04,2025-08-25,Oil & Filter Overhaul,Naik Mech,24,"Tire Assembly, Hub Bearing",54666,1
ML-5485,EQ-1157,B05,2026-06-16,Emergency Repair,Subedar Tech,24,"Brake Pads, Hydraulic Line",12650,5
ML-5486,EQ-1157,B05,2026-04-15,Oil & Filter Overhaul,Havildar Tech,48,"Brake Pads, Hydraulic Line",12394,1
ML-5487,EQ-1158,B03,2026-05-17,Corrective Repair,Havildar Tech,4,"Tire Assembly, Hub Bearing",61319,1
ML-5488,EQ-1158,B03,2026-02-12,Emergency Repair,Sergeant,24,"Radiator Core, Coolant",47833,1
ML-5489,EQ-1158,B03,2025-11-10,Emergency Repair,Warrant Officer,48,"Tire Assembly, Hub Bearing",59480,5
ML-5490,EQ-1158,B03,2025-08-26,Emergency Repair,Havildar Tech,4,"Sensors, Wiring Harness",55059,7
ML-5491,EQ-1159,B04,2026-06-06,Routine Preventive,Warrant Officer,8,"Tire Assembly, Hub Bearing",40692,1
ML-5492,EQ-1159,B04,2026-03-20,Pre-Mission Inspection,Naik Mech,6,"Oil Filter, Gaskets",31516,1
ML-5493,EQ-1159,B04,2025-12-26,Emergency Repair,Sergeant,48,"Alternator, Belt Drive",36169,5
ML-5494,EQ-1160,B08,2026-06-24,Corrective Repair,Naik Mech,16,"Oil Filter, Gaskets",13864,1
ML-5495,EQ-1160,B08,2026-04-20,Emergency Repair,Sergeant,8,"Brake Pads, Hydraulic Line",14974,2
ML-5496,EQ-1160,B08,2026-02-06,Routine Preventive,Warrant Officer,48,"Brake Pads, Hydraulic Line",11064,1
ML-5497,EQ-1160,B08,2025-12-07,Corrective Repair,Warrant Officer,6,"Brake Pads, Hydraulic Line",16119,3
ML-5498,EQ-1161,B06,2026-05-26,Corrective Repair,Havildar Tech,16,"Oil Filter, Gaskets",33456,7
ML-5499,EQ-1161,B06,2026-03-14,Routine Preventive,Havildar Tech,4,"Tire Assembly, Hub Bearing",43442,1
ML-5500,EQ-1162,B01,2026-05-20,Emergency Repair,Havildar Tech,8,"Radiator Core, Coolant",44355,7
ML-5501,EQ-1162,B01,2026-03-19,Pre-Mission Inspection,Subedar Tech,16,"Brake Pads, Hydraulic Line",32488,1
ML-5502,EQ-1163,B07,2026-05-30,Routine Preventive,Havildar Tech,48,"Tire Assembly, Hub Bearing",40434,1
ML-5503,EQ-1163,B07,2026-03-25,Routine Preventive,Warrant Officer,6,"Injector Nozzle, Fuel Filter",46194,1
ML-5504,EQ-1163,B07,2025-12-25,Pre-Mission Inspection,Sergeant,6,"Tire Assembly, Hub Bearing",31070,1
ML-5505,EQ-1164,B02,2026-06-04,Oil & Filter Overhaul,Naik Mech,8,"Starter Motor, Battery",13090,1
ML-5506,EQ-1164,B02,2026-04-24,Corrective Repair,Havildar Tech,4,"Alternator, Belt Drive",15383,5
ML-5507,EQ-1165,B03,2026-06-17,Pre-Mission Inspection,Naik Mech,12,"Starter Motor, Battery",12328,1
ML-5508,EQ-1165,B03,2026-04-07,Routine Preventive,Warrant Officer,12,"Oil Filter, Gaskets",16800,1
ML-5509,EQ-1165,B03,2026-02-08,Emergency Repair,Havildar Tech,16,"Sensors, Wiring Harness",10856,5
ML-5510,EQ-1165,B03,2025-12-11,Emergency Repair,Naik Mech,16,"Oil Filter, Gaskets",12278,2
ML-5511,EQ-1166,B03,2026-06-14,Oil & Filter Overhaul,Sergeant,8,"Sensors, Wiring Harness",14275,1
ML-5512,EQ-1166,B03,2026-04-08,Pre-Mission Inspection,Subedar Tech,6,"Brake Pads, Hydraulic Line",14579,1
ML-5513,EQ-1166,B03,2026-02-23,Routine Preventive,Havildar Tech,24,"Radiator Core, Coolant",14163,1
ML-5514,EQ-1166,B03,2025-12-14,Oil & Filter Overhaul,Subedar Tech,16,"Oil Filter, Gaskets",13138,1
ML-5515,EQ-1167,B01,2026-07-07,Pre-Mission Inspection,Sergeant,12,"Tire Assembly, Hub Bearing",25321,1
ML-5516,EQ-1167,B01,2026-05-22,Emergency Repair,Sergeant,16,"Alternator, Belt Drive",26606,3
ML-5517,EQ-1168,B06,2026-05-23,Emergency Repair,Warrant Officer,12,"Radiator Core, Coolant",46323,1
ML-5518,EQ-1168,B06,2026-03-17,Pre-Mission Inspection,Subedar Tech,4,"Starter Motor, Battery",32435,1
ML-5519,EQ-1168,B06,2025-12-28,Emergency Repair,Sergeant,24,"Radiator Core, Coolant",39721,7
ML-5520,EQ-1168,B06,2025-10-10,Oil & Filter Overhaul,Naik Mech,8,"Injector Nozzle, Fuel Filter",37226,1
ML-5521,EQ-1169,B06,2026-06-14,Oil & Filter Overhaul,Naik Mech,12,"Alternator, Belt Drive",14574,1
ML-5522,EQ-1169,B06,2026-04-19,Oil & Filter Overhaul,Naik Mech,4,"Radiator Core, Coolant",14492,1
ML-5523,EQ-1170,B03,2026-06-25,Routine Preventive,Naik Mech,4,"Tire Assembly, Hub Bearing",24870,1
ML-5524,EQ-1170,B03,2026-05-08,Pre-Mission Inspection,Naik Mech,4,"Sensors, Wiring Harness",21942,1
ML-5525,EQ-1170,B03,2026-03-27,Pre-Mission Inspection,Naik Mech,8,"Oil Filter, Gaskets",25117,1
ML-5526,EQ-1170,B03,2026-02-06,Corrective Repair,Havildar Tech,48,"Alternator, Belt Drive",27348,1
ML-5527,EQ-1171,B04,2026-05-11,Emergency Repair,Warrant Officer,4,"Starter Motor, Battery",63881,5
ML-5528,EQ-1171,B04,2026-02-15,Emergency Repair,Naik Mech,24,"Sensors, Wiring Harness",45124,7
ML-5529,EQ-1171,B04,2025-11-07,Emergency Repair,Sergeant,6,"Alternator, Belt Drive",43072,3
ML-5530,EQ-1172,B01,2026-05-31,Corrective Repair,Havildar Tech,24,"Tire Assembly, Hub Bearing",38139,1
ML-5531,EQ-1172,B01,2026-03-22,Routine Preventive,Subedar Tech,24,"Tire Assembly, Hub Bearing",33812,1
ML-5532,EQ-1172,B01,2025-12-28,Routine Preventive,Havildar Tech,24,"Starter Motor, Battery",32254,1
ML-5533,EQ-1172,B01,2025-10-19,Pre-Mission Inspection,Warrant Officer,4,"Radiator Core, Coolant",38120,1
ML-5534,EQ-1173,B04,2026-06-23,Pre-Mission Inspection,Naik Mech,16,"Brake Pads, Hydraulic Line",85800,1
ML-5535,EQ-1173,B04,2026-04-05,Pre-Mission Inspection,Subedar Tech,4,"Injector Nozzle, Fuel Filter",80816,1
ML-5536,EQ-1173,B04,2026-02-14,Oil & Filter Overhaul,Subedar Tech,24,"Alternator, Belt Drive",110903,1
ML-5537,EQ-1174,B01,2026-06-22,Emergency Repair,Warrant Officer,48,"Brake Pads, Hydraulic Line",29669,1
ML-5538,EQ-1174,B01,2026-05-22,Oil & Filter Overhaul,Subedar Tech,4,"Tire Assembly, Hub Bearing",31208,1
ML-5539,EQ-1174,B01,2026-03-30,Corrective Repair,Subedar Tech,12,"Radiator Core, Coolant",22234,1
ML-5540,EQ-1174,B01,2026-02-21,Corrective Repair,Subedar Tech,48,"Injector Nozzle, Fuel Filter",23335,2
ML-5541,EQ-1175,B02,2026-06-03,Oil & Filter Overhaul,Havildar Tech,6,"Injector Nozzle, Fuel Filter",39888,1
ML-5542,EQ-1175,B02,2026-03-24,Pre-Mission Inspection,Subedar Tech,24,"Alternator, Belt Drive",31621,1
ML-5543,EQ-1175,B02,2025-12-30,Pre-Mission Inspection,Sergeant,16,"Starter Motor, Battery",31902,1
ML-5544,EQ-1175,B02,2025-10-25,Pre-Mission Inspection,Naik Mech,16,"Oil Filter, Gaskets",30753,1
ML-5545,EQ-1176,B05,2026-06-06,Emergency Repair,Havildar Tech,8,"Brake Pads, Hydraulic Line",43138,7
ML-5546,EQ-1176,B05,2026-03-22,Pre-Mission Inspection,Havildar Tech,8,"Alternator, Belt Drive",38171,1
ML-5547,EQ-1176,B05,2026-01-08,Oil & Filter Overhaul,Warrant Officer,4,"Sensors, Wiring Harness",35035,1
ML-5548,EQ-1177,B04,2026-06-12,Routine Preventive,Subedar Tech,4,"Injector Nozzle, Fuel Filter",15403,1
ML-5549,EQ-1177,B04,2026-04-19,Routine Preventive,Naik Mech,16,"Sensors, Wiring Harness",12953,1
ML-5550,EQ-1177,B04,2026-02-11,Emergency Repair,Subedar Tech,8,"Alternator, Belt Drive",15610,5
ML-5551,EQ-1178,B05,2026-06-07,Emergency Repair,Naik Mech,16,"Tire Assembly, Hub Bearing",41262,3
ML-5552,EQ-1178,B05,2026-03-11,Pre-Mission Inspection,Sergeant,8,"Radiator Core, Coolant",38067,1
ML-5553,EQ-1179,B01,2026-07-07,Emergency Repair,Sergeant,16,"Tire Assembly, Hub Bearing",76071,2
ML-5554,EQ-1179,B01,2026-06-08,Pre-Mission Inspection,Warrant Officer,8,"Tire Assembly, Hub Bearing",54600,1
ML-5555,EQ-1179,B01,2026-05-06,Oil & Filter Overhaul,Havildar Tech,48,"Alternator, Belt Drive",75768,1
ML-5556,EQ-1179,B01,2026-04-25,Oil & Filter Overhaul,Sergeant,6,"Radiator Core, Coolant",72834,1
ML-5557,EQ-1180,B01,2026-05-26,Oil & Filter Overhaul,Havildar Tech,12,"Sensors, Wiring Harness",41200,1
ML-5558,EQ-1180,B01,2026-03-11,Pre-Mission Inspection,Warrant Officer,8,"Sensors, Wiring Harness",39895,1
ML-5559,EQ-1181,B02,2026-06-18,Pre-Mission Inspection,Warrant Officer,4,"Alternator, Belt Drive",12600,1
ML-5560,EQ-1181,B02,2026-04-18,Pre-Mission Inspection,Subedar Tech,4,"Brake Pads, Hydraulic Line",14918,1
ML-5561,EQ-1181,B02,2026-02-16,Emergency Repair,Naik Mech,48,"Tire Assembly, Hub Bearing",11087,3
ML-5562,EQ-1181,B02,2025-12-24,Emergency Repair,Sergeant,8,"Alternator, Belt Drive",15104,3
ML-5563,EQ-1182,B02,2026-05-21,Emergency Repair,Warrant Officer,24,"Alternator, Belt Drive",47145,3
ML-5564,EQ-1182,B02,2026-02-22,Oil & Filter Overhaul,Subedar Tech,48,"Sensors, Wiring Harness",57535,1
ML-5565,EQ-1182,B02,2025-11-06,Emergency Repair,Naik Mech,24,"Starter Motor, Battery",45039,1
ML-5566,EQ-1183,B01,2026-06-22,Emergency Repair,Subedar Tech,8,"Brake Pads, Hydraulic Line",12783,1
ML-5567,EQ-1183,B01,2026-04-13,Corrective Repair,Havildar Tech,24,"Injector Nozzle, Fuel Filter",17109,7
ML-5568,EQ-1184,B05,2026-06-01,Emergency Repair,Sergeant,8,"Oil Filter, Gaskets",37118,3
ML-5569,EQ-1184,B05,2026-03-23,Corrective Repair,Subedar Tech,12,"Tire Assembly, Hub Bearing",34818,2
ML-5570,EQ-1185,B03,2026-06-27,Oil & Filter Overhaul,Havildar Tech,12,"Alternator, Belt Drive",20503,1
ML-5571,EQ-1185,B03,2026-05-18,Emergency Repair,Subedar Tech,48,"Injector Nozzle, Fuel Filter",24325,5
ML-5572,EQ-1185,B03,2026-04-09,Emergency Repair,Warrant Officer,4,"Tire Assembly, Hub Bearing",24017,3
ML-5573,EQ-1186,B05,2026-05-28,Pre-Mission Inspection,Havildar Tech,8,"Radiator Core, Coolant",32641,1
ML-5574,EQ-1186,B05,2026-03-23,Pre-Mission Inspection,Warrant Officer,16,"Injector Nozzle, Fuel Filter",31851,1
ML-5575,EQ-1187,B06,2026-06-10,Routine Preventive,Warrant Officer,24,"Injector Nozzle, Fuel Filter",11988,1
ML-5576,EQ-1187,B06,2026-04-06,Routine Preventive,Subedar Tech,8,"Injector Nozzle, Fuel Filter",13573,1
ML-5577,EQ-1188,B01,2026-07-04,Oil & Filter Overhaul,Subedar Tech,6,"Oil Filter, Gaskets",25792,1
ML-5578,EQ-1188,B01,2026-05-18,Pre-Mission Inspection,Warrant Officer,6,"Radiator Core, Coolant",28553,1
ML-5579,EQ-1188,B01,2026-04-08,Emergency Repair,Naik Mech,6,"Radiator Core, Coolant",20536,5
ML-5580,EQ-1189,B05,2026-07-15,Corrective Repair,Sergeant,24,"Radiator Core, Coolant",86033,1
ML-5581,EQ-1189,B05,2026-06-06,Oil & Filter Overhaul,Warrant Officer,6,"Tire Assembly, Hub Bearing",58816,1
ML-5582,EQ-1189,B05,2026-05-21,Corrective Repair,Subedar Tech,24,"Sensors, Wiring Harness",55756,1
ML-5583,EQ-1190,B02,2026-05-23,Routine Preventive,Naik Mech,24,"Tire Assembly, Hub Bearing",44851,1
ML-5584,EQ-1190,B02,2026-03-22,Emergency Repair,Subedar Tech,6,"Oil Filter, Gaskets",29920,2
ML-5585,EQ-1191,B05,2026-05-07,Emergency Repair,Havildar Tech,4,"Injector Nozzle, Fuel Filter",67147,2
ML-5586,EQ-1191,B05,2026-02-09,Oil & Filter Overhaul,Havildar Tech,8,"Oil Filter, Gaskets",58670,1
ML-5587,EQ-1192,B03,2026-07-08,Routine Preventive,Havildar Tech,8,"Radiator Core, Coolant",30980,1
ML-5588,EQ-1192,B03,2026-05-08,Emergency Repair,Subedar Tech,12,"Brake Pads, Hydraulic Line",32965,2
ML-5589,EQ-1193,B02,2026-07-21,Emergency Repair,Warrant Officer,16,"Starter Motor, Battery",81073,5
ML-5590,EQ-1193,B02,2026-06-09,Routine Preventive,Warrant Officer,16,"Sensors, Wiring Harness",61855,1
ML-5591,EQ-1193,B02,2026-05-14,Routine Preventive,Havildar Tech,12,"Sensors, Wiring Harness",73632,1
ML-5592,EQ-1194,B04,2026-05-31,Routine Preventive,Sergeant,16,"Brake Pads, Hydraulic Line",39531,1
ML-5593,EQ-1194,B04,2026-03-23,Emergency Repair,Sergeant,12,"Brake Pads, Hydraulic Line",38449,3
ML-5594,EQ-1194,B04,2025-12-30,Routine Preventive,Warrant Officer,4,"Oil Filter, Gaskets",33665,1
ML-5595,EQ-1195,B01,2026-06-16,Pre-Mission Inspection,Havildar Tech,4,"Sensors, Wiring Harness",16617,1
ML-5596,EQ-1195,B01,2026-04-25,Emergency Repair,Warrant Officer,4,"Injector Nozzle, Fuel Filter",13340,5
ML-5597,EQ-1195,B01,2026-02-05,Emergency Repair,Subedar Tech,8,"Radiator Core, Coolant",15615,1
ML-5598,EQ-1195,B01,2025-12-22,Routine Preventive,Naik Mech,6,"Brake Pads, Hydraulic Line",11553,1
ML-5599,EQ-1196,B07,2026-06-18,Routine Preventive,Subedar Tech,48,"Sensors, Wiring Harness",12651,1
ML-5600,EQ-1196,B07,2026-04-25,Emergency Repair,Warrant Officer,48,"Sensors, Wiring Harness",11330,7
ML-5601,EQ-1197,B04,2026-07-06,Emergency Repair,Warrant Officer,24,"Radiator Core, Coolant",26931,1
ML-5602,EQ-1197,B04,2026-05-20,Oil & Filter Overhaul,Warrant Officer,6,"Tire Assembly, Hub Bearing",24201,1
ML-5603,EQ-1197,B04,2026-04-03,Pre-Mission Inspection,Warrant Officer,16,"Radiator Core, Coolant",27100,1
ML-5604,EQ-1198,B01,2026-06-15,Routine Preventive,Subedar Tech,16,"Oil Filter, Gaskets",12238,1
ML-5605,EQ-1198,B01,2026-04-17,Pre-Mission Inspection,Havildar Tech,6,"Injector Nozzle, Fuel Filter",13079,1
ML-5606,EQ-1198,B01,2026-02-22,Routine Preventive,Sergeant,4,"Starter Motor, Battery",12946,1
ML-5607,EQ-1199,B02,2026-06-05,Pre-Mission Inspection,Havildar Tech,48,"Brake Pads, Hydraulic Line",14816,1
ML-5608,EQ-1199,B02,2026-04-09,Corrective Repair,Subedar Tech,24,"Brake Pads, Hydraulic Line",11349,2
ML-5609,EQ-1200,B05,2026-06-26,Corrective Repair,Sergeant,24,"Starter Motor, Battery",25160,5
ML-5610,EQ-1200,B05,2026-05-18,Emergency Repair,Warrant Officer,12,"Sensors, Wiring Harness",22221,7
ML-5611,EQ-1200,B05,2026-03-30,Routine Preventive,Sergeant,12,"Injector Nozzle, Fuel Filter",32857,1
ML-5612,EQ-1201,B08,2026-06-07,Oil & Filter Overhaul,Havildar Tech,24,"Radiator Core, Coolant",16630,1
ML-5613,EQ-1201,B08,2026-04-17,Emergency Repair,Warrant Officer,16,"Injector Nozzle, Fuel Filter",16813,2
ML-5614,EQ-1201,B08,2026-02-07,Oil & Filter Overhaul,Warrant Officer,16,"Tire Assembly, Hub Bearing",14917,1
ML-5615,EQ-1201,B08,2025-12-20,Pre-Mission Inspection,Subedar Tech,4,"Oil Filter, Gaskets",16681,1
ML-5616,EQ-1202,B03,2026-06-23,Emergency Repair,Subedar Tech,4,"Brake Pads, Hydraulic Line",25079,7
ML-5617,EQ-1202,B03,2026-05-25,Oil & Filter Overhaul,Subedar Tech,6,"Starter Motor, Battery",26381,1
ML-5618,EQ-1202,B03,2026-04-01,Emergency Repair,Sergeant,48,"Injector Nozzle, Fuel Filter",29203,2
ML-5619,EQ-1202,B03,2026-02-21,Oil & Filter Overhaul,Warrant Officer,16,"Starter Motor, Battery",24727,1
ML-5620,EQ-1203,B01,2026-06-26,Emergency Repair,Warrant Officer,6,"Injector Nozzle, Fuel Filter",31274,2
ML-5621,EQ-1203,B01,2026-05-09,Emergency Repair,Warrant Officer,4,"Starter Motor, Battery",31795,1
ML-5622,EQ-1203,B01,2026-04-05,Pre-Mission Inspection,Warrant Officer,8,"Brake Pads, Hydraulic Line",32861,1
ML-5623,EQ-1204,B01,2026-05-08,Emergency Repair,Warrant Officer,48,"Oil Filter, Gaskets",50004,7
ML-5624,EQ-1204,B01,2026-02-15,Emergency Repair,Sergeant,8,"Sensors, Wiring Harness",55736,2
ML-5625,EQ-1205,B06,2026-07-09,Pre-Mission Inspection,Havildar Tech,48,"Alternator, Belt Drive",27950,1
ML-5626,EQ-1205,B06,2026-05-05,Pre-Mission Inspection,Sergeant,6,"Oil Filter, Gaskets",27783,1
ML-5627,EQ-1206,B02,2026-05-15,Routine Preventive,Sergeant,4,"Brake Pads, Hydraulic Line",50885,1
ML-5628,EQ-1206,B02,2026-02-19,Routine Preventive,Naik Mech,6,"Alternator, Belt Drive",48333,1
ML-5629,EQ-1206,B02,2025-11-17,Routine Preventive,Sergeant,24,"Injector Nozzle, Fuel Filter",65937,1
ML-5630,EQ-1206,B02,2025-08-18,Oil & Filter Overhaul,Warrant Officer,24,"Oil Filter, Gaskets",45590,1
ML-5631,EQ-1207,B01,2026-06-09,Routine Preventive,Subedar Tech,24,"Starter Motor, Battery",10823,1
ML-5632,EQ-1207,B01,2026-04-08,Corrective Repair,Sergeant,24,"Brake Pads, Hydraulic Line",17248,2
ML-5633,EQ-1208,B02,2026-05-05,Emergency Repair,Subedar Tech,4,"Oil Filter, Gaskets",66462,7
ML-5634,EQ-1208,B02,2026-02-16,Corrective Repair,Sergeant,12,"Radiator Core, Coolant",62962,7
ML-5635,EQ-1208,B02,2025-11-17,Oil & Filter Overhaul,Havildar Tech,24,"Brake Pads, Hydraulic Line",42000,1
ML-5636,EQ-1209,B03,2026-06-20,Routine Preventive,Havildar Tech,4,"Tire Assembly, Hub Bearing",15069,1
ML-5637,EQ-1209,B03,2026-04-20,Emergency Repair,Sergeant,24,"Tire Assembly, Hub Bearing",13465,1
ML-5638,EQ-1209,B03,2026-02-04,Emergency Repair,Havildar Tech,16,"Oil Filter, Gaskets",15102,3
ML-5639,EQ-1209,B03,2025-12-14,Corrective Repair,Havildar Tech,8,"Sensors, Wiring Harness",16313,1
ML-5640,EQ-1210,B03,2026-05-20,Pre-Mission Inspection,Sergeant,48,"Alternator, Belt Drive",36306,1
ML-5641,EQ-1210,B03,2026-03-11,Routine Preventive,Sergeant,6,"Injector Nozzle, Fuel Filter",32087,1
ML-5642,EQ-1211,B01,2026-06-11,Routine Preventive,Sergeant,12,"Alternator, Belt Drive",16429,1
ML-5643,EQ-1211,B01,2026-04-11,Corrective Repair,Havildar Tech,16,"Oil Filter, Gaskets",14032,3
ML-5644,EQ-1211,B01,2026-02-11,Emergency Repair,Naik Mech,8,"Oil Filter, Gaskets",14285,3
ML-5645,EQ-1212,B01,2026-06-24,Oil & Filter Overhaul,Sergeant,8,"Oil Filter, Gaskets",23546,1
ML-5646,EQ-1212,B01,2026-05-18,Routine Preventive,Warrant Officer,48,"Tire Assembly, Hub Bearing",32854,1
ML-5647,EQ-1213,B04,2026-06-05,Emergency Repair,Warrant Officer,16,"Oil Filter, Gaskets",16038,5
ML-5648,EQ-1213,B04,2026-04-12,Oil & Filter Overhaul,Havildar Tech,16,"Brake Pads, Hydraulic Line",16674,1
ML-5649,EQ-1214,B03,2026-05-09,Oil & Filter Overhaul,Sergeant,48,"Radiator Core, Coolant",66137,1
ML-5650,EQ-1214,B03,2026-02-07,Oil & Filter Overhaul,Sergeant,6,"Tire Assembly, Hub Bearing",61273,1
ML-5651,EQ-1214,B03,2025-11-16,Routine Preventive,Naik Mech,4,"Injector Nozzle, Fuel Filter",48484,1
ML-5652,EQ-1215,B04,2026-06-15,Emergency Repair,Havildar Tech,6,"Brake Pads, Hydraulic Line",91824,5
ML-5653,EQ-1215,B04,2026-04-18,Corrective Repair,Warrant Officer,24,"Starter Motor, Battery",115257,7
ML-5654,EQ-1215,B04,2026-02-18,Emergency Repair,Naik Mech,24,"Radiator Core, Coolant",83424,5
ML-5655,EQ-1215,B04,2025-12-21,Routine Preventive,Havildar Tech,4,"Radiator Core, Coolant",110869,1
ML-5656,EQ-1216,B03,2026-06-19,Corrective Repair,Subedar Tech,4,"Radiator Core, Coolant",30793,5
ML-5657,EQ-1216,B03,2026-05-18,Pre-Mission Inspection,Sergeant,8,"Injector Nozzle, Fuel Filter",25279,1
ML-5658,EQ-1216,B03,2026-03-28,Corrective Repair,Naik Mech,4,"Brake Pads, Hydraulic Line",31994,2
ML-5659,EQ-1217,B02,2026-05-19,Pre-Mission Inspection,Havildar Tech,48,"Tire Assembly, Hub Bearing",60000,1
ML-5660,EQ-1217,B02,2026-02-19,Emergency Repair,Sergeant,48,"Radiator Core, Coolant",54227,5
ML-5661,EQ-1217,B02,2025-11-21,Emergency Repair,Warrant Officer,8,"Tire Assembly, Hub Bearing",49296,3
ML-5662,EQ-1218,B04,2026-06-25,Emergency Repair,Warrant Officer,8,"Sensors, Wiring Harness",27161,5
ML-5663,EQ-1218,B04,2026-05-12,Oil & Filter Overhaul,Warrant Officer,12,"Radiator Core, Coolant",25251,1
ML-5664,EQ-1219,B01,2026-05-16,Corrective Repair,Sergeant,48,"Alternator, Belt Drive",60473,2
ML-5665,EQ-1219,B01,2026-02-07,Oil & Filter Overhaul,Subedar Tech,4,"Alternator, Belt Drive",64886,1
ML-5666,EQ-1219,B01,2025-11-14,Emergency Repair,Sergeant,48,"Oil Filter, Gaskets",65769,2
ML-5667,EQ-1220,B07,2026-06-24,Oil & Filter Overhaul,Naik Mech,24,"Radiator Core, Coolant",14061,1
ML-5668,EQ-1220,B07,2026-04-12,Pre-Mission Inspection,Subedar Tech,48,"Sensors, Wiring Harness",13551,1
ML-5669,EQ-1220,B07,2026-02-14,Corrective Repair,Naik Mech,16,"Oil Filter, Gaskets",14660,3
ML-5670,EQ-1221,B04,2026-07-05,Routine Preventive,Warrant Officer,6,"Starter Motor, Battery",69361,1
ML-5671,EQ-1221,B04,2026-06-15,Emergency Repair,Havildar Tech,8,"Brake Pads, Hydraulic Line",59720,3
ML-5672,EQ-1221,B04,2026-05-09,Emergency Repair,Naik Mech,8,"Sensors, Wiring Harness",53076,1
ML-5673,EQ-1221,B04,2026-04-21,Emergency Repair,Naik Mech,12,"Brake Pads, Hydraulic Line",70993,2
ML-5674,EQ-1222,B07,2026-06-09,Routine Preventive,Subedar Tech,16,"Oil Filter, Gaskets",13788,1
ML-5675,EQ-1222,B07,2026-04-05,Oil & Filter Overhaul,Warrant Officer,12,"Radiator Core, Coolant",16681,1
ML-5676,EQ-1222,B07,2026-02-05,Emergency Repair,Naik Mech,48,"Injector Nozzle, Fuel Filter",16286,2
ML-5677,EQ-1222,B07,2025-12-07,Corrective Repair,Sergeant,12,"Sensors, Wiring Harness",15666,1
ML-5678,EQ-1223,B03,2026-05-30,Corrective Repair,Sergeant,6,"Alternator, Belt Drive",36568,1
ML-5679,EQ-1223,B03,2026-03-12,Emergency Repair,Subedar Tech,24,"Tire Assembly, Hub Bearing",29399,5
