Equipment_ID,Base,Equipment_Type,Status,Last_Service,Next_Service,Fuel_Used,Operating_Hours,Maintenance_Cost,Spare_Parts,Readiness
EQ-1655,LEH,heavy tactical truck,Operational,27/07/2026,25/09/2026,729.0,290,22900,Available,0.8670
EQ-1734,Kanpur,Heavy Tactical Truck,operational,2026-07-16,2026-09-14,250.0,98,14800,Low,91.6
EQ-1732,Siliguri,Heavy Tactical Truck,Operational,2026-06-02,2026-08-01,341.0,130,"16,900 INR",Available,85.0
EQ-1003,Delhi,Heavy Tactical Truck,Operational,07-08-2026,09-06-2026,586.0,204,Rs. 21200,Available,96.0
EQ-2121,Siliguri,Armored Personnel Carrier (APC),Operational,2026-06-06,2026-09-04,1289.0,250,Rs. 82100,Available,86.2
EQ-1539,Kanpur,Field Diesel Generator,Maintenance,2026-06-29,2026-08-13,460.0,320,"₹102,500",Low,0.5600
EQ-1209,Bhopal,Heavy Tactical Truck,operational,2026-06-02,2026-08-01,518.0,198,22300,Available,86.0
EQ-2009,Leh,Armored_Personnel_Carrier_(APC),Operational,2026-06-05,2026-09-03,1119.0,247,79400,Available,91.1
EQ-1473,kANPUR,Heavy Tactical Truck,Operational,2026-08-04,2026-10-03,273.0,106,18400,Low,85.2
EQ-1066,Bhopal,Tactical UAV Launcher,Maintenance,2026-07-30,2026-08-29,285.0,262,191300,Critical Shortage,52.8
EQ-1062,JODHPUR,Field Diesel Generator,Operational,2026-07-15,2026-08-29,333.0,248,59000,Available,84.0
EQ-1808,Leh,Field Diesel Generator,Maintenance,2026-07-05,2026-08-19,297.0,231,101400,Available,62.2
EQ-1540,Kanpur,ARMORED PERSONNEL CARRIER (APC),Operational,2026-06-12,2026-09-10,754.0,166,"77,300 INR",Low,83.5
EQ-2131,Kanpur,Heavy Tactical Truck,Operational,2026-06-03,2026-08-02,501.0,189,"₹17,900",Available,82.2
EQ-1497,Lucknow,Heavy Tactical Truck,out of service,2026-07-09,2026-09-07,341.0,128,34300,Low,32.7
EQ-1464,kANPUR,HEAVY TACTICAL TRUCK,Operational,2026-07-13,2026-09-11,449.0,184,21200,Available,87.2
EQ-1481,Lucknow,Field Diesel Generator,Operational,2026-07-09,2026-08-23,371.0,252,48000,Critical Shortage,97.2
EQ-2179,Lucknow,Field Diesel Generator,Operational,23-Jun-2026,07-Aug-2026,303.0,200,56400,Available,89.8
EQ-1163,Siliguri,Artillery Tractor,Operational,10-Jul-2026,23-Sep-2026,921.0,252,56700,Available,83.7
EQ-1768,DELHI,armored personnel carrier (apc),Operational,30-05-2026,28-08-2026,1260.0,283,88700,Available,86.4
EQ-1251,Kanpur,Heavy Tactical Truck,Operational,29/06/2026,28/08/2026,314.0,118,"₹15,200",,82.8
EQ-1501,Delhi,Tactical UAV Launcher,Operational,2026-07-09,2026-08-08,245.0,241,104500,Available,83.7
EQ-1612,Delhi,Heavy Tactical Truck,Operational,2026-06-29,2026-08-28,,172,20700,Available,85.9
EQ-2235,Delhi,Tactical UAV Launcher,Operational,2026-07-28,2026-08-27,,154,100900,Available,86.9
EQ-2104,lUCKNOW,Heavy Tactical Truck,Operational,2026-07-18,2026-09-16,445.0,168,"₹17,600",Available,92.4
EQ-1429,jodhpur,Armored Personnel Carrier (APC),Operational,2026-05-03,2026-08-01,1307.0,247,92000,Low,82.6%
EQ-1290,Kanpur,Field Diesel Generator,Operational,2026-07-22,2026-09-05,308.0,222,Rs. 50200,Available,87.0
EQ-1107,Siliguri, Armored Personnel Carrier (APC) ,operational,2026-07-30,2026-10-28,1381.0,289,93600,Available,83.8%
EQ-2071,Leh,Field Diesel Generator,Operational,2026-07-29,2026-09-12,357.0,257,57700,Available,91.6
EQ-1375,Lucknow,Heavy Tactical Truck,Operational,2026-07-01,2026-08-30,649.0,271,"₹25,100",Available,85.8
EQ-1502,Pune,Field Diesel Generator,operational,2026-07-04,2026-08-18,492.0,374,74300,Available,98.1
EQ-1440,Lucknow,Artillery_Tractor,Operational,05-06-2026,19-08-2026,678.0,192,"₹50,000",Available,94.6
EQ-1728,Bhopal,Armored Personnel Carrier (APC),operational,2026-06-13,2026-09-11,1112.0,212,"₹78,400",Available,81.5
EQ-1527,lUCKNOW,Armored Personnel Carrier (APC),Operational,2026-07-27,2026-10-25,573.0,113,66900,Available,96.6
EQ-2216,lucknow, Mobile Radar Unit ,operational,2026-06-20,2026-08-19,620.0,257,134600,Critical Shortage,87.9
EQ-2206,Leh,Armored Personnel Carrier (APC),Operational,2026-06-29,2026-09-27,966.0,197,71500,Available,94.4
EQ-1070,Pune,Armored Personnel Carrier (APC),Operational,2026-07-08,2026-10-06,730.0,162,72200,Available,89.9
EQ-1104,Lucknow,Armored Personnel Carrier (APC),Operational,2026-05-26,2026-08-24,741.0,154,71700,Available,95.7
EQ-1146,Lucknow,Field Diesel Generator,Operational,2026-08-01,2026-09-15,462.0,306,62900,Low,80.6
EQ-1451,Kanpur,Armored Personnel Carrier (APC),Maintenance,14/07/2026,12/10/2026,877.0,191,111100,,52.6
EQ-1918,  Delhi   ,Tactical UAV Launcher,Operational,15/07/2026,14/08/2026,217.0,204,92700,Available,93.1%
EQ-1466,Jodhpur,Mobile Radar Unit,Operational,02-Jun-2026,01-Aug-2026,380.0,183,147800,Available,98.2
EQ-1162,Lucknow,Artillery Tractor,Operational,2026-06-06,2026-08-20,,234,60900,Available,83.9
EQ-1706,Siliguri,Heavy Tactical Truck,Operational,2026-07-30,2026-09-28,563.0,202,18900,Available,94%
EQ-1742,Lucknow,Armored Personnel Carrier (APC),Operational,2026-06-12,2026-09-10,643.0,131,68200,Low,85.7
EQ-1105,bHOPAL,Field Diesel Generator,Maintenance,05-07-2026,19-08-2026,384.0,250,95800,Low,47.5
EQ-1189,Leh,Tactical UAV Launcher,Operational,2026-07-15,2026-08-14,155.0,152,100700,,88.9
EQ-1510,Delhi,Artillery Tractor,Out of Service,2026-05-17,2026-07-31,565.0,153,129900,Critical Shortage,42.9
EQ-1203,Lucknow,Field Diesel Generator,Operational,2026-07-28,2026-09-11,422.0,324,61700,Available,87.0
EQ-1370,Lucknow,Tactical UAV Launcher,Operational,18-07-2026,17-08-2026,185.0,156,"86,200 INR",Available,87.1%
EQ-2154,Kanpur,Artillery Tractor,Operational,2026-06-14,2026-08-28,419.0,128,42000,Available,89.7
EQ-1393,Siliguri,Tactical UAV Launcher,operational,2026-08-02,2026-09-01,143.0,128,Rs. 84500,Available,83.2
EQ-1587,lucknow,Heavy Tactical Truck,Operational,2026-06-24,2026-08-23,433.0,154,"₹17,700",Available,98%
EQ-1861,Bhopal,Heavy Tactical Truck,operational,2026-07-11,2026-09-09,494.0,184,20300,Available,89.8
EQ-1218,Delhi,Field Diesel Generator,Operational,24-Jul-2026,07-Sep-2026,329.0,245,Rs. 51400,Available,84.2%
EQ-1110,Leh,HEAVY TACTICAL TRUCK,Operational,2026-06-01,2026-07-31,454.0,171,18800,Available,80.8%
EQ-1727,Siliguri,Armored Personnel Carrier (APC),Maintenance,2026-07-05,2026-10-03,886.0,195,141200,Low,52.2
EQ-1639,Leh,Heavy Tactical Truck,Operational,2026-07-08,2026-09-06,314.0,116,19100,Available,83.6
EQ-1476,Delhi,Heavy Tactical Truck,Operational,2026-06-27,2026-08-26,461.0,163,16500,Available,96.3
EQ-1966,Delhi,Mobile Radar Unit,Operational,2026-08-05,2026-10-04,635.0,267,"₹139,800",Available,98.8
EQ-1699,Jodhpur,Field Diesel Generator,Operational,2026-06-27,2026-08-11,471.0,315,"70,300 INR",Low,83.6
EQ-1127,jODHPUR,Mobile Radar Unit,Operational,2026-06-04,2026-08-03,294.0,145,136700,Available,89.1
EQ-1636,dELHI,Artillery Tractor,Operational,2026-06-06,2026-08-20,374.0,112,48000,Available,90.9
EQ-1557,  Kanpur   ,Artillery Tractor,Operational,23-07-2026,06-10-2026,,170,52200,Available,91.8
EQ-2007,kANPUR,ARTILLERY TRACTOR,operational,23/06/2026,06/09/2026,876.0,239,Rs. 59600,Available,87.0
EQ-1825,  Leh   ,Artillery Tractor,Operational,26/07/2026,09/10/2026,659.0,172,49000,Critical Shortage,81.5
EQ-1068,Bhopal,ARMORED PERSONNEL CARRIER (APC),Operational,2026-05-17,2026-08-15,1139.0,245,83600,Low,91.7
EQ-1389,Pune,Heavy Tactical Truck,Operational,2026-07-08,2026-09-06,614.0,217,"₹19,400",Available,91.6
EQ-2176,Lucknow,Heavy Tactical Truck,Operational,2026-07-09,2026-09-07,450.0,162,20300,Critical Shortage,94.6
EQ-1577,Kanpur,Mobile Radar Unit,Operational,2026-07-23,2026-09-21,417.0,206,"146,500 INR",Available,91.4%
EQ-2200,Kanpur,Tactical UAV Launcher,Operational,2026-07-25,2026-08-24,280.0,263,"₹98,900",Available,83.2
EQ-2085,Siliguri,Field Diesel Generator,Operational,2026-07-13,2026-08-27,390.0,282,58300,Low,92.1
EQ-2041,Lucknow,Field Diesel Generator,Operational,2026-07-13,2026-08-27,498.0,361,65600,Available,81.2
EQ-1630,  Jodhpur   ,Heavy Tactical Truck,Operational,2026-07-26,2026-09-24,552.0,224,20400,Available,82.5
EQ-1097,Jodhpur,Mobile Radar Unit,Maintenance,2026-07-03,2026-09-01,434.0,209,Rs. 246900,Low,66.0
EQ-2016,Delhi,Artillery Tractor,Operational,2026-07-08,2026-09-21,676.0,204,60900,Available,93%
EQ-1576,Jodhpur,Field Diesel Generator,Operational,2026-07-21,2026-09-04,188.0,127,50400,Available,97.7%
EQ-1012,Delhi,Field Diesel Generator,operational,06-21-2026,08-05-2026,315.0,232,53800,Available,95%
EQ-1346,Delhi,Artillery Tractor,operational,05/07/2026,18/09/2026,782.0,206,56000,Available,92.7
EQ-1171,Delhi, Armored Personnel Carrier (APC) ,Operational,2026-07-12,2026-10-10,736.0,150,70100,,91.5
EQ-1225,Leh,Heavy Tactical Truck,Operational,12-07-2026,10-09-2026,391.0,153,"₹19,000",,97.8
EQ-1877,  Kanpur   ,Artillery Tractor,Operational,2026-05-30,2026-08-13,609.0,169,47700,Available,98.3
EQ-1417,Lucknow,Armored Personnel Carrier (APC),Operational,2026-07-21,2026-10-19,1236.0,272,92200,Available,93.8
EQ-1602,Bhopal,Field Diesel Generator,Out of Service,15-Jul-2026,29-Aug-2026,266.0,204,Rs. 98600,Available,22.5
EQ-1318,Kanpur,Field Diesel Generator,Operational,2026-06-19,2026-08-03,322.0,241,"54,500 INR",Available,96.8
EQ-1736,Lucknow,Heavy Tactical Truck,Operational,2026-07-23,2026-09-21,,196,17700,Available,98.5
EQ-1865,Delhi,Armored Personnel Carrier (APC),operational,25-05-2026,23-08-2026,735.0,164,"79,400 INR",Low,80.8
EQ-1227,Lucknow,Armored Personnel Carrier (APC),Operational,2026-08-01,2026-10-30,913.0,198,72100,Available,93.8
EQ-1792,Delhi,HEAVY TACTICAL TRUCK,Operational,2026-06-12,2026-08-11,495.0,184,Rs. 21100,Available,98.9
EQ-1419,delhi,Armored Personnel Carrier (APC),Operational,2026-07-30,2026-10-28,1315.0,253,"₹85,100",Available,90.2%
EQ-1493,Pune,Field Diesel Generator,Operational,2026-07-23,2026-09-06,405.0,264,59900,Available,85.5%
EQ-1122,Kanpur,Tactical UAV Launcher,Out of Service,2026-07-21,2026-08-20,158.0,149,201700,Critical Shortage,20.9%
EQ-1869,Siliguri,heavy tactical truck,Operational,2026-06-01,2026-07-31,580.0,204,Rs. 21600,Available,91.0
EQ-1579,kanpur,Heavy_Tactical_Truck,Maintenance,2026-06-07,2026-08-06,274.0,108,23900,Available,46.5
EQ-1632,Lucknow,Heavy Tactical Truck,Operational,2026-07-08,2026-09-06,649.0,243,"₹19,200",Available,91.6
EQ-1268,Leh,Mobile Radar Unit,operational,26/07/2026,24/09/2026,251.0,123,130200,Available,91.9
EQ-1394,Leh,Artillery Tractor,Operational,20-May-2026,03-Aug-2026,1024.0,286,64500,Available,95%
EQ-1668,Kanpur,Armored Personnel Carrier (APC),Operational,2026-06-16,2026-09-14,,270,82800,Available,85.7
EQ-1604,lEH,Heavy Tactical Truck,Maintenance,23-06-2026,22-08-2026,645.0,236,37100,Available,59.9
EQ-2054,Kanpur,Artillery Tractor,Operational,01/07/2026,14/09/2026,,208,60200,Available,92.8
EQ-2163,Lucknow,Field_Diesel_Generator,maintenance,24-Jun-2026,08-Aug-2026,248.0,176,"₹75,600",Available,50.3
EQ-2063,  Bhopal   ,Tactical UAV Launcher,Operational,2026-07-21,2026-08-20,278.0,252,116800,Available,94.0
EQ-1830,Delhi,tactical uav launcher,Out of Service,2026-07-06,2026-08-05,202.0,180,184900,Available,0.2280
EQ-1541,kanpur,Tactical UAV Launcher,Operational,02/08/2026,01/09/2026,281.0,236,93500,Available,84%
EQ-1323,Leh,Armored Personnel Carrier (APC),operational,2026-06-13,2026-09-11,737.0,154,78800,Available,96.8
EQ-1558,Delhi,HEAVY TACTICAL TRUCK,Maintenance,2026-07-09,2026-09-07,435.0,155,28100,Available,62.3
EQ-1890,  Jodhpur   ,Heavy Tactical Truck,Maintenance,2026-06-05,2026-08-04,586.0,224,34100,Critical Shortage,65.1
EQ-1048,kANPUR,Artillery Tractor,Maintenance,2026-05-24,2026-08-07,857.0,247,99100,Low,57.7
EQ-1591,Jodhpur,Field Diesel Generator,Operational,2026-07-02,2026-08-16,362.0,264,50600,Critical Shortage,89.4
EQ-1786,Bhopal,Armored Personnel Carrier (APC),operational,2026-07-20,2026-10-18,1151.0,249,84000,Low,90.5
EQ-1637,Delhi,Armored Personnel Carrier (APC),Operational,2026-05-23,2026-08-21,1055.0,236,78400,Available,89.7
EQ-1919,Leh,Mobile Radar Unit,Operational,07-29-2026,09-27-2026,396.0,172,124100,Low,98.3
EQ-1596,DELHI,Heavy Tactical Truck,Maintenance,06-06-2026,08-05-2026,427.0,152,27000,Low,56.8
EQ-1569,Jodhpur,Field Diesel Generator,Operational,2026-07-11,2026-08-25,189.0,147,51800,Available,0.8740
EQ-1538,Lucknow,Field Diesel Generator,Operational,2026-08-05,2026-09-19,354.0,236,Rs. 55700,Available,90.6
EQ-2186,Lucknow,Armored Personnel Carrier (APC),Operational,2026-05-02,2026-07-31,1148.0,242,84800,Available,83.1
EQ-2213,Lucknow,Tactical UAV Launcher,Operational,2026-07-10,2026-08-09,182.0,159,88000,Available,91.6
EQ-1756,Kanpur,Armored Personnel Carrier (APC),Operational,2026-06-16,2026-09-14,1714.0,326,104800,Available,88.9
EQ-1369,Kanpur,Field Diesel Generator,Operational,20-Jun-2026,04-Aug-2026,411.0,265,"₹54,100",Low,94.8
EQ-1434,sILIGURI,Artillery Tractor,Operational,19-06-2026,02-09-2026,748.0,230,53800,Available,85.3
EQ-1936,Lucknow,Heavy_Tactical_Truck,Operational,2026-06-20,2026-08-19,382.0,152,17600,Available,94.2
EQ-1950,lucknow,Artillery Tractor,operational,2026-06-13,2026-08-27,686.0,207,"55,300 INR",Available,95.1
EQ-1109,Bhopal,Tactical UAV Launcher,Operational,2026-07-04,2026-08-03,212.0,207,92700,Low,90.3
EQ-1856,Bhopal,Field Diesel Generator,Out of Service,2026-06-26,2026-08-10,345.0,225,103200,Low,17.9
EQ-1524,bhopal,Field Diesel Generator,Operational,2026-07-06,2026-08-20,443.0,294,Rs. 59000,Available,96.6
EQ-1500,sILIGURI,Heavy Tactical Truck,maintenance,02-Aug-2026,01-Oct-2026,280.0,112,"₹27,400",,62.1
EQ-1148,Kanpur, Heavy Tactical Truck ,Operational,2026-07-01,2026-08-30,284.0,115,15400,Available,98.2
EQ-1294,Bhopal,Mobile Radar Unit,Operational,2026-06-25,2026-08-24,,237,149900,Low,86.8
EQ-1300,Leh,Heavy Tactical Truck,Maintenance,26/06/2026,25/08/2026,569.0,203,29900,Low,64.3
EQ-1565,Delhi,Tactical UAV Launcher,Maintenance,2026-07-20,2026-08-19,268.0,255,204800,Critical Shortage,46.6
EQ-1628,Kanpur,Artillery Tractor,Operational,2026-07-13,2026-09-26,697.0,188,"56,000 INR",Available,88.3
EQ-1898,Kanpur,Armored Personnel Carrier (APC),Maintenance,2026-05-21,2026-08-19,940.0,202,110800,Low,56.3
EQ-1595,  Kanpur   ,Heavy Tactical Truck,Maintenance,2026-07-10,2026-09-08,606.0,221,43200,Low,0.6310
EQ-1550,  Siliguri   ,Artillery Tractor,operational,15/06/2026,29/08/2026,551.0,164,46700,Available,88.4
EQ-1180,lucknow,Artillery Tractor,Operational,06-21-2026,09-04-2026,1145.0,331,66400,Available,81.1
EQ-1383,DELHI,Armored Personnel Carrier (APC),Maintenance,31/07/2026,29/10/2026,398.0,88,Rs. 83200,Available,48.1
EQ-1259,Lucknow,tactical uav launcher,Operational,2026-07-26,2026-08-25,221.0,217,94200,Low,88.8
EQ-1787,Siliguri,heavy tactical truck,operational,2026-07-27,2026-09-25,532.0,212,22300,Available,96.6
EQ-1460,siliguri,Field Diesel Generator,operational,2026-07-05,2026-08-19,273.0,188,41400,Available,80.1
EQ-1355,Kanpur,MOBILE RADAR UNIT,Operational,11-07-2026,09-09-2026,426.0,194,150300,Available,0.9050
EQ-1423,Pune, Field Diesel Generator ,Operational,2026-07-21,2026-09-04,375.0,245,"₹53,900",Available,94%
EQ-1185,Bhopal,Field Diesel Generator,Maintenance,2026-06-19,2026-08-03,358.0,246,111800,Critical Shortage,63.1
EQ-1096,Pune,Field Diesel Generator,Maintenance,2026-07-17,2026-08-31,264.0,172,70000,Critical Shortage,46.3
EQ-2010,Kanpur,Armored Personnel Carrier (APC),operational,2026-06-21,2026-09-19,,168,72600,Available,87.1
EQ-2194,  Delhi   ,tactical uav launcher,operational,2026-07-31,2026-08-30,245.0,210,103700,Available,88.9
EQ-1408,Lucknow,Mobile Radar Unit,Operational,2026-07-19,2026-09-17,388.0,187,"₹132,800",Available,90.5
EQ-1400,LEH,Artillery Tractor,Operational,15/07/2026,28/09/2026,840.0,256,66100,Available,86.3
EQ-1405,Siliguri,Tactical UAV Launcher,Operational,2026-08-02,2026-09-01,203.0,172,94700,Low,91.0
EQ-1281,Bhopal,Heavy_Tactical_Truck,Operational,2026-07-13,2026-09-11,473.0,180,18800,Critical Shortage,96.6
EQ-1574,Pune,Heavy Tactical Truck,operational,2026-06-06,2026-08-05,404.0,165,21000,Available,82.9
EQ-1312,Bhopal,Tactical UAV Launcher,Operational,2026-07-12,2026-08-11,261.0,249,99600,Available,90.8
EQ-1743,Leh,Artillery Tractor,Operational,29-Jun-2026,12-Sep-2026,605.0,163,56900,Available,87.3
EQ-2224,Lucknow,Field Diesel Generator,Operational,01/08/2026,15/09/2026,404.0,284,60700,Low,87.2
EQ-1691,Leh,Field Diesel Generator,Operational,2026-06-25,2026-08-09,364.0,238,52700,Available,87.7
EQ-1019,Bhopal,Heavy Tactical Truck,Operational,2026-07-12,2026-09-10,359.0,134,15900,Low,93.7
EQ-2193,Delhi, Field Diesel Generator ,Operational,12-Jul-2026,26-Aug-2026,297.0,223,49000,Available,83.1
EQ-1453,Pune,Artillery Tractor,Operational,17/07/2026,30/09/2026,476.0,145,51000,Low,83.2
EQ-1331,Jodhpur,Artillery Tractor,Operational,10-Jun-2026,24-Aug-2026,700.0,194,50800,Available,90.9%
EQ-1608,Jodhpur,Tactical UAV Launcher,operational,06-Jul-2026,05-Aug-2026,149.0,132,95300,Available,87%
EQ-1411,Kanpur,Armored Personnel Carrier (APC),operational,2026-07-05,2026-10-03,1079.0,230,83800,Low,96.9%
EQ-2128,jODHPUR,Armored Personnel Carrier (APC),Operational,2026-05-12,2026-08-10,,157,74600,Available,85.2
EQ-1806,Delhi,Armored Personnel Carrier (APC),Operational,2026-05-22,2026-08-20,,179,65600,Critical Shortage,84.5
EQ-1614,Kanpur,HEAVY TACTICAL TRUCK,Operational,2026-07-05,2026-09-03,360.0,124,17800,Critical Shortage,95.0
EQ-1908,Lucknow,Heavy Tactical Truck,operational,19-07-2026,17-09-2026,593.0,208,18500,Available,90.4
EQ-1220,Siliguri,Heavy Tactical Truck,Operational,2026-06-07,2026-08-06,,178,20400,Available,88%
EQ-1498,Delhi,Mobile Radar Unit,Operational,2026-07-04,2026-09-02,387.0,185,119800,Available,85.3
EQ-2222,Kanpur,Artillery Tractor,Maintenance,30/07/2026,13/10/2026,807.0,210,114500,Low,49%
EQ-1208,Kanpur,Armored Personnel Carrier (APC),Operational,2026-07-18,2026-10-16,,220,77600,Available,98.7
EQ-1884,  Bhopal   ,Heavy Tactical Truck,Operational,05-08-2026,04-10-2026,567.0,221,"₹19,900",Low,83.5%
EQ-1399,Kanpur,Armored Personnel Carrier (APC),operational,2026-06-16,2026-09-14,1015.0,189,77400,Available,0.8770
EQ-1987,Leh,Heavy Tactical Truck,Maintenance,2026-07-02,2026-08-31,601.0,242,36000,Available,63.0
EQ-1940,Jodhpur, Heavy Tactical Truck ,Operational,04-08-2026,03-10-2026,408.0,149,20000,Available,85.3
EQ-1531,kANPUR,Heavy Tactical Truck,Operational,2026-07-04,2026-09-02,502.0,203,20400,Available,95.1
EQ-2106,Bhopal,Tactical UAV Launcher,Operational,03/07/2026,02/08/2026,162.0,143,"96,800 INR",Available,95.4
EQ-1710,kANPUR,Armored Personnel Carrier (APC),Operational,2026-07-09,2026-10-07,1286.0,279,Rs. 77700,Available,98.1%
EQ-2059,Bhopal,Artillery Tractor,Operational,2026-05-25,2026-08-08,795.0,222,"57,200 INR",Low,88.3
EQ-1720,Kanpur,Field Diesel Generator,operational,2026-06-26,2026-08-10,389.0,256,64000,Available,83.6
EQ-1897,Delhi,Heavy Tactical Truck,Operational,02-08-2026,01-10-2026,472.0,167,"19,000 INR",Low,82.6
EQ-1555,Lucknow,field diesel generator,operational,2026-07-14,2026-08-28,369.0,280,59700,Available,96.6
EQ-1214,Bhopal,Armored Personnel Carrier (APC),Operational,12/07/2026,10/10/2026,1017.0,227,89100,Low,82.4
EQ-1848,Lucknow,Heavy Tactical Truck,Out of Service,2026-07-25,2026-09-23,764.0,285,57000,Available,20.0
EQ-1653,Pune,artillery tractor,Operational,2026-07-28,2026-10-11,654.0,181,49900,Low,94.5
EQ-2023,Bhopal,Artillery Tractor,Operational,2026-06-15,2026-08-29,630.0,193,51200,Critical Shortage,96.0
EQ-2199,  Kanpur   ,Heavy Tactical Truck,Maintenance,17-Jul-2026,15-Sep-2026,481.0,185,Rs. 30500,Available,67.9
EQ-2083,  Jodhpur   ,Tactical UAV Launcher,Operational,2026-07-20,2026-08-19,193.0,178,"90,300 INR",Low,82.0
EQ-2119,Lucknow,Field Diesel Generator,Operational,2026-06-16,2026-07-31,410.0,272,63600,Available,92.7
EQ-2144,LEH,Armored Personnel Carrier (APC),Operational,2026-06-02,2026-08-31,979.0,201,79500,Available,98.1
EQ-1201,Pune,HEAVY TACTICAL TRUCK,Operational,2026-07-29,2026-09-27,473.0,191,19300,Critical Shortage,80.7
EQ-1245,Bhopal,Heavy Tactical Truck,Maintenance,2026-07-21,2026-09-19,334.0,120,Rs. 25900,Low,51.1
EQ-1657,Delhi,Field Diesel Generator,Operational,27-06-2026,11-08-2026,368.0,260,"62,500 INR",Available,80.5
EQ-2066,Leh,FIELD DIESEL GENERATOR,Operational,2026-07-28,2026-09-11,252.0,192,Rs. 50300,Available,88%
EQ-1338,BHOPAL,Heavy Tactical Truck,Operational,2026-07-30,2026-09-28,449.0,160,20000,Available,98.6
EQ-1893,Lucknow,Heavy Tactical Truck,Operational,2026-06-02,2026-08-01,634.0,223,"₹19,700",Available,92.6
EQ-2101,Lucknow,Mobile Radar Unit,Operational,2026-06-25,2026-08-24,523.0,244,152700,Critical Shortage,98.4
EQ-1477,  Jodhpur   ,Artillery Tractor,Operational,2026-06-09,2026-08-23,814.0,223,59900,Available,90%
EQ-1014,Leh,Heavy Tactical Truck,Operational,12/06/2026,11/08/2026,215.0,88,14900,Available,95.3
EQ-2048,Lucknow,Heavy Tactical Truck,Maintenance,2026-06-11,2026-08-10,301.0,104,31400,Low,52%
EQ-1773,Kanpur,ARMORED PERSONNEL CARRIER (APC),Operational,2026-05-09,2026-08-07,1080.0,226,"87,600 INR",Available,82.4%
EQ-1345,  Siliguri   ,Armored Personnel Carrier (APC),Operational,2026-07-16,2026-10-14,814.0,171,81400,Available,86.1
EQ-1862,Bhopal,Field Diesel Generator,Operational,2026-07-22,2026-09-05,250.0,169,51900,Low,96.8
EQ-1556,LUCKNOW,Field_Diesel_Generator,Operational,2026-06-30,2026-08-14,320.0,235,48700,Low,99.0
EQ-1284,lUCKNOW,Heavy Tactical Truck,Operational,2026-07-31,2026-09-29,323.0,119,18900,Low,86.7
EQ-1703,Kanpur,ARMORED PERSONNEL CARRIER (APC),Maintenance,2026-07-28,2026-10-26,794.0,159,96800,Available,58.6
EQ-1888,Delhi,Artillery Tractor,operational,07-07-2026,20-09-2026,570.0,177,52900,Available,83.8%
EQ-2035,Leh,Mobile Radar Unit,operational,03-Aug-2026,02-Oct-2026,367.0,170,124200,Available,81.1
EQ-2204,Pune,Field Diesel Generator,Operational,2026-07-03,2026-08-17,385.0,292,63900,Available,91.7
EQ-1217,Kanpur,Armored Personnel Carrier (APC),Operational,07-05-2026,10-03-2026,835.0,156,"78,400 INR",Available,94.5
EQ-2108,Kanpur, Field Diesel Generator ,Out of Service,2026-07-21,2026-09-04,265.0,196,"₹108,200",,34.5
EQ-1215,delhi,Mobile Radar Unit,Operational,2026-07-11,2026-09-09,377.0,179,136200,Available,83.8
EQ-1631,  Jodhpur   ,Mobile Radar Unit,Operational,18/06/2026,17/08/2026,226.0,110,110400,Available,86.2
EQ-2133,Bhopal,Field Diesel Generator,Operational,2026-06-19,2026-08-03,497.0,356,"₹54,100",Low,84.8
EQ-1666,Lucknow,Field Diesel Generator,Operational,2026-07-12,2026-08-26,359.0,266,"52,300 INR",Low,98.6
EQ-1809,Bhopal,Heavy Tactical Truck,Operational,2026-07-06,2026-09-04,553.0,231,21200,Available,85.4
EQ-1603,Kanpur,HEAVY TACTICAL TRUCK,operational,2026-07-17,2026-09-15,564.0,214,20200,Available,85.7
EQ-1958,  Siliguri   ,Heavy_Tactical_Truck,Operational,2026-06-22,2026-08-21,533.0,195,21400,Available,82.2%
EQ-1912,lucknow,Artillery Tractor,Operational,2026-06-23,2026-09-06,777.0,205,58000,Available,96.6
EQ-1824,Lucknow,Tactical UAV Launcher,Operational,2026-07-20,2026-08-19,211.0,176,Rs. 87500,Available,91.7
EQ-1348,Pune,Tactical UAV Launcher,operational,2026-07-28,2026-08-27,144.0,124,96300,Available,84.1
EQ-1060,Kanpur,Heavy Tactical Truck,Operational,07-30-2026,09-28-2026,597.0,218,19500,Available,80.8
EQ-1878,Jodhpur,Field Diesel Generator,Operational,07-06-2026,08-20-2026,401.0,273,"₹64,900",Available,97%
EQ-1167,Lucknow,Field Diesel Generator,Operational,2026-07-15,2026-08-29,415.0,309,52800,Available,0.8910
EQ-1416,lEH,Artillery Tractor,Operational,15/07/2026,28/09/2026,535.0,157,52400,Available,93.2
EQ-1718,Siliguri,Heavy Tactical Truck,Operational,07-02-2026,08-31-2026,,181,"₹17,900",Available,94.5
EQ-1078,dELHI,Field Diesel Generator,Operational,24-06-2026,08-08-2026,358.0,242,"54,800 INR",Available,91.5
EQ-1800,Kanpur,Field Diesel Generator,Operational,2026-06-20,2026-08-04,392.0,261,62200,Available,90.9
EQ-1229,Lucknow,Tactical UAV Launcher,Operational,2026-07-12,2026-08-11,176.0,159,"93,800 INR",Available,89.1
EQ-2245,Leh,Heavy Tactical Truck,Out of Service,07-14-2026,09-12-2026,350.0,145,33700,Available,33.6
EQ-1964,Kanpur,Heavy_Tactical_Truck,Operational,2026-06-03,2026-08-02,527.0,206,"₹19,500",Available,82%
EQ-1084,Pune,Heavy Tactical Truck,Operational,2026-07-16,2026-09-14,370.0,151,Rs. 19700,Available,0.8580
